lat,lon
43.74997403,-84.01734928
43.74972288,-84.01735928
43.74946088,-84.01734972
43.74919517,-84.01732996
43.74893877,-84.01732681
43.74867457,-84.01731031
43.74840914,-84.0173031
43.74815885,-84.01731182
43.74789991,-84.01730457
43.74763093,-84.01727419
43.74736916,-84.01726495
43.74709855,-84.01724134
43.7468551,-84.01725087
43.74658602,-84.01722757
43.74632674,-84.01722284
43.74607334,-84.01722462
43.74581666,-84.0172081
43.74556728,-84.01721775
43.74530198,-84.01720046
43.74504903,-84.0171912
43.74478797,-84.01717621
43.74455115,-84.01720135
43.7442962,-84.01720453
43.74404355,-84.01721926
43.74378201,-84.01722239
43.74352254,-84.01722279
43.74324789,-84.01719647
43.74298757,-84.01720058
43.74272741,-84.01720307
43.74246209,-84.01717899
43.74221801,-84.01720417
43.74192655,-84.01718761
43.74166686,-84.01718414
43.74138279,-84.01714246
43.74112026,-84.01714616
43.74085326,-84.01714302
43.74059681,-84.01716185
43.74032159,-84.01715399
43.74003988,-84.01713567
43.73977561,-84.01714056
43.73950409,-84.01713676
43.73922873,-84.01712141
43.73896177,-84.01711256
43.73868188,-84.01708091
43.73841008,-84.01705535
43.73812909,-84.01701838
43.73784013,-84.0169898
43.73755857,-84.0169408
43.73728022,-84.01689995
43.73698997,-84.01684241
43.73669881,-84.0167806
43.73640794,-84.01672955
43.73611763,-84.01666183
43.73582721,-84.01660912
43.7355318,-84.01654449
43.73523678,-84.0164777
43.73494491,-84.01640606
43.73470299,-84.01637089
43.73441349,-84.01630009
43.73412358,-84.01621989
43.73382508,-84.01612622
43.73353554,-84.01603673
43.73325043,-84.01595581
43.73296015,-84.01586841
43.73266556,-84.01578421
43.73236099,-84.01569933
43.73202844,-84.01560687
43.7317186,-84.01552085
43.73141136,-84.01543996
43.73112454,-84.01537639
43.73080686,-84.01528444
43.73048588,-84.01519299
43.73016353,-84.01509273
43.7298398,-84.0149968
43.72951461,-84.01490244
43.72918535,-84.01480411
43.72885634,-84.01470589
43.72851407,-84.01459799
43.72817969,-84.01449889
43.72785608,-84.01440677
43.72753283,-84.01430512
43.72720214,-84.0142098
43.72686906,-84.01410186
43.72654111,-84.014005
43.72621385,-84.01390471
43.72589167,-84.01381031
43.72558495,-84.01371732
43.72527793,-84.01362535
43.72496654,-84.01352675
43.72465119,-84.0134293
43.72434221,-84.01334583
43.72404106,-84.01325363
43.72374121,-84.01317721
43.72343247,-84.01309058
43.7231275,-84.01301494
43.72280656,-84.01293247
43.72249458,-84.0128636
43.72217499,-84.01281927
43.7218512,-84.01274165
43.72155361,-84.01269982
43.72123522,-84.01262243
43.72091502,-84.01257917
43.7205921,-84.01253337
43.72025952,-84.01251078
43.71993837,-84.01250454
43.71962982,-84.01247742
43.71932018,-84.01247516
43.71902724,-84.01245659
43.71872818,-84.01245927
43.71841916,-84.01245089
43.718082,-84.01242758
43.7177618,-84.0124121
43.71745136,-84.01240927
43.71714958,-84.01242194
43.71682449,-84.01242008
43.7165093,-84.01242701
43.71619316,-84.01242721
43.71587509,-84.01243041
43.71553159,-84.01242084
43.71519414,-84.01242684
43.71486978,-84.0124218
43.71452925,-84.01240224
43.7142502,-84.01240812
43.7139258,-84.0124061
43.71362623,-84.01241958
43.71331745,-84.01243984
43.71299338,-84.01244582
43.71267371,-84.01246922
43.71231922,-84.01246925
43.71198537,-84.01247115
43.71169309,-84.01248135
43.71139139,-84.01250718
43.71106898,-84.01252027
43.71073778,-84.01250395
43.71043225,-84.0125147
43.71010941,-84.012515
43.70979475,-84.01251293
43.70947688,-84.01251758
43.70916343,-84.01253177
43.70884455,-84.01254268
43.70852727,-84.01255179
43.70823592,-84.01257573
43.70794747,-84.0125853
43.70762683,-84.01259367
43.70731562,-84.01260385
43.70699633,-84.01261685
43.70667932,-84.01262069
43.70636075,-84.01263026
43.70604119,-84.01265073
43.705718,-84.01265089
43.70540601,-84.01266163
43.70509173,-84.01268088
43.70478116,-84.01269453
43.70445519,-84.0126945
43.70413245,-84.01269167
43.70383704,-84.01271714
43.70352849,-84.01273898
43.70322795,-84.01275903
43.70293402,-84.01278562
43.70260715,-84.01278506
43.70228249,-84.01278167
43.70197919,-84.01280614
43.70166329,-84.01281695
43.70134661,-84.01282362
43.70102961,-84.01283122
43.70070925,-84.01283437
43.70038784,-84.01284498
43.70006782,-84.01285271
43.69975218,-84.01287526
43.69943476,-84.01287927
43.69911867,-84.0128791
43.69880647,-84.01289266
43.6984876,-84.01290358
43.69816698,-84.01291277
43.69784273,-84.01292605
43.6975442,-84.01295441
43.69723682,-84.01296357
43.69692265,-84.01294562
43.69660187,-84.01294346
43.69629525,-84.01296382
43.69596686,-84.01296289
43.69564845,-84.01297812
43.69533063,-84.01298115
43.69502308,-84.01299466
43.69470489,-84.01300108
43.69439466,-84.0130073
43.69407643,-84.0130142
43.69376541,-84.01301826
43.69344268,-84.01302833
43.69312734,-84.01303995
43.69281598,-84.01304637
43.69250349,-84.01305073
43.69219098,-84.01306983
43.69187402,-84.01307734
43.69155334,-84.01307469
43.69123774,-84.01308469
43.69092485,-84.01308347
43.6905982,-84.01308456
43.69028701,-84.01309853
43.68998399,-84.01312038
43.68966808,-84.01312528
43.68934848,-84.01313171
